M/Z,Intensity
514.9951,52.8761
514.0359,93.9613
550.2648,87.9046
577.9568,18.7972
576.2641,79.0082
541.8444,53.5629
543.7707,55.607
582.025,47.2949
514.3234,55.6396
541.3528,70.215
526.7503,29.9723
528.8143,26.5962
545.7701,70.7251
566.2453,82.4862
576.3619,18.4044
539.5871,98.9272
536.879,25.3839
561.3124,11.7013
515.1451,42.2943
585.0951,70.1285
525.193,64.3233
546.4678,39.6315
576.2216,89.8187
526.2034,73.3582
569.6085,17.9841
597.7547,53.4052
543.6439,44.1181
560.8168,61.6394
503.6279,29.2276
542.4148,53.7132
504.7292,17.1388
510.0203,44.4574
564.316,61.5529
557.3924,20.3088
549.2877,50.0876
513.8599,86.8809
528.5355,96.9002
555.529,16.8098
566.3306,41.25
582.5987,85.5431
562.688,72.5068
536.9362,42.9606
587.8838,14.6958
586.6844,6.7375
575.3987,48.2803
563.0551,67.6274
556.3457,5.1776
555.764,87.5146
546.7749,30.2507
552.1155,6.454
583.9768,15.8588
561.209,18.6118
590.891,60.9436
555.3239,9.8808
509.7313,78.5694
576.7691,52.591
589.1963,41.5412
546.4532,6.3185
524.6163,59.9345
518.7274,93.2703
556.2575,82.6004
577.8821,6.1171
538.7484,46.3236
502.7351,17.587
531.3267,48.4816
565.9992,89.5253
561.0842,46.493
578.2972,42.5292
580.5532,96.5395
570.6934,97.9951
515.8524,68.3071
505.7527,34.0239
583.628,31.032
512.9736,94.174
505.5829,96.9834
508.0616,40.1639
527.1703,41.9121
501.6175,60.885
595.8559,36.1586
586.4632,82.6156
540.2521,1.4936
510.2234,53.8243
517.5434,71.7304
573.9336,77.1422
573.7596,77.2042
,
581.5789,46.8983
575.8676,64.473
592.5055,72.6919
591.0636,35.4569
514.1443,69.9555
598.5719,8.6766
586.613,9.4376
551.733,68.6699
558.7374,27.8544
523.4838,17.6018
582.8197,90.7358
542.7154,92.6233
578.4101,40.3499
538.2557,86.1998
546.2754,87.7944
596.2876,59.3891
538.8725,60.7896
569.4562,65.3725
529.8112,45.7158
525.0995,5.4574
551.4796,56.1236
532.7126,80.9899
517.7575,73.1897
591.5037,82.7217
508.0943,39.8471
525.4727,70.1011
511.725,37.9477
503.3307,79.7004
580.4992,20.0411
560.6563,64.4369
595.3419,26.0963
591.9952,22.6581
563.103,63.367
504.8594,26.2984
541.0503,5.6659
575.2169,70.2236
500.8851,69.4251
515.5508,48.1743
590.7479,93.6689
534.0162,51.9717
570.4421,41.1609
572.5309,32.7063
566.4066,14.0376
521.392,92.4933
559.9373,65.042
557.8478,86.4338
512.6377,91.3027
503.7216,86.8636
545.6861,50.2407
537.2397,16.9336
561.5882,12.672
529.1105,63.4407
559.3514,88.4616
576.5447,21.3098
587.9965,69.8765
538.8016,45.7806
566.0888,81.477
584.5649,45.2098
594.4864,54.8561
532.7787,60.8432
570.459,43.6251
504.6193,87.0857
501.8044,95.3875
564.9913,65.0884
582.828,91.2648
525.9715,31.4055
564.9835,61.6276
537.4456,33.2825
557.2851,10.3588
588.4462,58.3448
597.6187,8.4551
502.7448,63.7746
581.5284,80.1366
519.8279,23.0777
583.6652,8.0062
563.5177,70.0729
566.2269,69.4031
581.2244,79.6143
569.2533,35.9201
595.8536,34.0246
549.8952,69.533
553.6497,8.2417
513.3008,38.1465
581.6571,26.1854
588.3726,10.9775
595.5974,10.3429
544.7474,31.1664
507.8938,81.9222
521.8079,62.5149
500.7747,29.5221
515.097,15.7981
594.3054,74.0547
547.1128,14.3308
542.0551,39.3183
592.0031,38.6198
512.5067,48.0503
502.682,27.6637
538.2781,75.8336
527.2502,68.9073
515.7555,36.3351
545.5219,26.0651
514.4648,25.0096
550.8361,27.8149
593.6877,98.0101
598.6059,4.4943
544.4474,54.319
556.5767,91.3802
596.8568,31.4367
546.4669,13.3317
513.2725,15.1765
501.5777,66.8509
562.8172,70.8389
509.922,98.2897
596.5355,13.0984
565.8227,36.0702
523.0723,74.3851
589.9806,47.2279
569.2201,23.0258
575.9964,90.8522
